*******************************************************************************
 Revised: Jul 31, 2013              Mercury                             199 / 1

 GEOPHYSICAL DATA (updated 2008-Feb-07):
  Mean radius (km)      =  2440(+-1)     Density (g cm^-3)     =  5.427
  Mass (10^23 kg )      =     3.302      Flattening, f         =  
  Volume (x10^10 km^3)  =     6.085      Semi-major axis       = 
  Sidereal rot. period  =    58.6462 d   Rot. Rate (x10^5 s)   =  0.124001
  Mean solar day        =   175.9421 d   Polar gravity ms^-2   =
  Mom. of Inertia       =     0.33       Equ. gravity  ms^-2   =  3.701     
  Core radius (km)      = ~1600          Potential Love # k2   =

  GM (km^3 s^-2)        = 22032.09       Equatorial Radius, Re =    2440 km
  GM 1-sigma (km^3 s^-2)=   +-0.91       Mass ratio (sun/plnt) = 6023600
 
  Atmos. pressure (bar) =                Max. angular diam.    = 11.0"   
  Mean Temperature (K)  =                Visual mag. V(1,0)    = -0.42 
  Geometric albedo      =   0.106        Obliquity to orbit[1] = 2.11' +/- 0.1'  
  Sidereal orb. per.    =   0.2408467 y  Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    =  87.969257  d  Escape vel. km/s      =  4.435
  Hill's sphere rad. Rp =  94.4          Planetary Solar Const = 9936.9 (Wm^2)

[1] Margot et al., Science 316, 2007
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jun 20 14:58:34 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jun-19 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jun-19 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457923.500000000, A.D. 2017-Jun-19 00:00:00.0000,  1.280073346710142E+07,  4.413234669252412E+07,  2.431817670598414E+06,
2457924.500000000, A.D. 2017-Jun-20 00:00:00.0000,  7.858365168912816E+06,  4.523697256580088E+07,  2.975493403153069E+06,
2457925.500000000, A.D. 2017-Jun-21 00:00:00.0000,  2.836155474033079E+06,  4.588212948495349E+07,  3.488949482431805E+06,
2457926.500000000, A.D. 2017-Jun-22 00:00:00.0000, -2.214767735905571E+06,  4.606401482162368E+07,  3.967184701000078E+06,
2457927.500000000, A.D. 2017-Jun-23 00:00:00.0000, -7.243721090762456E+06,  4.578633787149209E+07,  4.405852448551130E+06,
2457928.500000000, A.D. 2017-Jun-24 00:00:00.0000, -1.220185407363258E+07,  4.505993273400275E+07,  4.801356446194487E+06,
2457929.500000000, A.D. 2017-Jun-25 00:00:00.0000, -1.704336485863305E+07,  4.390206777379493E+07,  5.150905862145813E+06,
2457930.500000000, A.D. 2017-Jun-26 00:00:00.0000, -2.172647433950647E+07,  4.233552734564750E+07,  5.452529634882638E+06,
2457931.500000000, A.D. 2017-Jun-27 00:00:00.0000, -2.621412094091814E+07,  4.038755446563836E+07,  5.705053818413097E+06,
2457932.500000000, A.D. 2017-Jun-28 00:00:00.0000, -3.047437057078863E+07,  3.808874283266201E+07,  5.908048655806860E+06,
2457933.500000000, A.D. 2017-Jun-29 00:00:00.0000, -3.448056266663364E+07,  3.547195558353883E+07,  6.061753626390288E+06,
2457934.500000000, A.D. 2017-Jun-30 00:00:00.0000, -3.821123179329111E+07,  3.257133044423985E+07,  6.166988961604876E+06,
2457935.500000000, A.D. 2017-Jul-01 00:00:00.0000, -4.164985398110546E+07,  2.942141075999205E+07,  6.225061368378852E+06,
2457936.500000000, A.D. 2017-Jul-02 00:00:00.0000, -4.478446900146893E+07,  2.605642271291145E+07,  6.237670316297185E+06,
2457937.500000000, A.D. 2017-Jul-03 00:00:00.0000, -4.760722607072517E+07,  2.250970309319462E+07,  6.206819602165569E+06,
2457938.500000000, A.D. 2017-Jul-04 00:00:00.0000, -5.011389330224118E+07,  1.881327025871060E+07,  6.134737289092823E+06,
