*******************************************************************************
 Revised: Dec 12, 2013               Neptune                                899
 
 PHYSICAL DATA (update 2009-May-26):
  Mass (10^24 kg)       =   102.41        Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Polar radius (km)      = 24342+-30
  Volumetric mean radius= 24624+-21 km    Flattening             =  0.0171 

  Rotation period       = 16.11+-0.01 hr  Rot. rate(10^-4 rad/s) =  1.083   
  m = w^2a^3/GM         =  0.02609        Hydrostatic flat., fh  =  0.01804
  Inferred rot. period  = 16.7+-1.4 hr    ks = 3*J2/m            =  0.407
  Mom. of inert. I/MRo^2=                 I/MRo^2 (upper bound)  =  0.239 
  Rocky core mass (Mc/M)=                 Y factor (He/H ratio)  =  0.235+-.040

  GM (km^3/s^2)         = 6,835,107       GM 1-sigma (km^3/s^2)  = +-15 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03

  Geometric albedo      =  0.41           Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)= +7.84           Obliquity to orbit     = 29.56 deg
  Sidereal orbit period = 164.79132 yr    Sidereal orbit period  = 60190.029 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    = 5.4778 km/s 

  Atmos. temp. (1 bar)  =  72+-2 K        Heat flow/mass (x10^7) =  2 erg/gm*s
  Planetary Solar Const =   1.47 W/m^2    Dipole tilt/offset     = 47deg/0.55Rp 
  Escape velocity (km/s)=  23.5           Mag.dip.mom(gauss-Rp^3)= 0.133
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jun 20 14:52:58 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jun-19 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jun-19 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457923.500000000, A.D. 2017-Jun-19 00:00:00.0000,  4.263584757764104E+09, -1.374487944558150E+09, -6.995736437129140E+07,
2457924.500000000, A.D. 2017-Jun-20 00:00:00.0000,  4.263726295222267E+09, -1.374039012944871E+09, -6.996985677396065E+07,
2457925.500000000, A.D. 2017-Jun-21 00:00:00.0000,  4.263867819467309E+09, -1.373590101633456E+09, -6.998240784196156E+07,
2457926.500000000, A.D. 2017-Jun-22 00:00:00.0000,  4.264009262674151E+09, -1.373141236049464E+09, -6.999498765130979E+07,
2457927.500000000, A.D. 2017-Jun-23 00:00:00.0000,  4.264150593513778E+09, -1.372692377526406E+09, -7.000753566441816E+07,
2457928.500000000, A.D. 2017-Jun-24 00:00:00.0000,  4.264291849682419E+09, -1.372243463456590E+09, -7.002002358493841E+07,
2457929.500000000, A.D. 2017-Jun-25 00:00:00.0000,  4.264433098762877E+09, -1.371794472300933E+09, -7.003248473831761E+07,
2457930.500000000, A.D. 2017-Jun-26 00:00:00.0000,  4.264574368055627E+09, -1.371345445957668E+09, -7.004497947052616E+07,
2457931.500000000, A.D. 2017-Jun-27 00:00:00.0000,  4.264715616235637E+09, -1.370896446265295E+09, -7.005753249267298E+07,
2457932.500000000, A.D. 2017-Jun-28 00:00:00.0000,  4.264856776257231E+09, -1.370447490805733E+09, -7.007010722646070E+07,
2457933.500000000, A.D. 2017-Jun-29 00:00:00.0000,  4.264997824959964E+09, -1.369998534652056E+09, -7.008264377921677E+07,
2457934.500000000, A.D. 2017-Jun-30 00:00:00.0000,  4.265138807113876E+09, -1.369549517015572E+09, -7.009512112910604E+07,
2457935.500000000, A.D. 2017-Jul-01 00:00:00.0000,  4.265279788932376E+09, -1.369100424363868E+09, -7.010757895177877E+07,
2457936.500000000, A.D. 2017-Jul-02 00:00:00.0000,  4.265420789321522E+09, -1.368651304473917E+09, -7.012007642509741E+07,
2457937.500000000, A.D. 2017-Jul-03 00:00:00.0000,  4.265561760248562E+09, -1.368202216830403E+09, -7.013263078655636E+07,
2457938.500000000, A.D. 2017-Jul-04 00:00:00.0000,  4.265702636606190E+09, -1.367753170872195E+09, -7.014519943726540E+07,
2457939.500000000, A.D. 2017-Jul-05 00:00:00.0000,  4.265843403802878E+09, -1.367304116194184E+09, -7.015772416768801E+07,
2457940.500000000, A.D. 2017-Jul-06 00:00:00.0000,  4.265984112907646E+09, -1.366854994883524E+09, -7.017019159524471E+07,
2457941.500000000, A.D. 2017-Jul-07 00:00:00.0000,  4.266124827620103E+09, -1.366405801653086E+09, -7.018264705896097E+07,
