*******************************************************************************
 Revised: Nov 05, 2015             134340 Pluto                             999
 
 Fit to all available observations (PLU043/DE433) including New Horizons
 encounter tracking.

 ICRF/J2000.0 helio. ecliptic osc. elements (AU, DAYS, DEG, period=Julian yrs):

 EPOCH= 2457217.5 ! 2015-Jul-14 00:00:00.0000 (TDB)
  EC= 2.543193766760227E-01 QR= 2.963711277830007E+01 IN= 1.736672922693450E+01
  OM= 1.102097591127033E+02 W = 1.142276233642205E+02 Tp=  2447886.048708124086
  N = 3.933503338914713E-03 MA= 3.670529481351401E+01 TA= 5.935219029576444E+01
  A = 3.974504882021532E+01 AD= 4.985298486213057E+01 PR= 9.152146801007345E+04

 NOTE:
  The Horizons output log may report using DE431 as the source of target or
  center data, but it is nevertheless using DE433 as an override if Pluto is 
  involved. This is to maintain ephemeris consistency for the New Horizons 
  spacecraft encounter at Pluto.

 PHYSICAL DATA (updated 2013-Nov-19, Mc= Charon mass, radius is IAU 2009):
  Mass Pluto (10^22 kg) = 1.307+-0.018    Density Pluto:
  GM (planet) km^3/s^2  = 872.4             (R = 1195 km)       = 1.83 g/cm^3
  Mass ratio (Mc/Mp)    = 0.117           Radius of Pluto, Rp   = 1195 km
  Surface gravity       = 61.1 cm/s^2     Geometric albedo      = 0.3 
  Sidereal orbit period = 249.58932 yr    Mean orbit velocity   = 4.656 km/s
  Escape velocity (km/s)= 1.21
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jun 20 14:53:07 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Sun (10)                        {source: plu055l_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jun-19 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jun-19 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457923.500000000, A.D. 2017-Jun-19 00:00:00.0000,  1.522632840792867E+09, -4.750620589187989E+09,  6.772960282819438E+07,
2457924.500000000, A.D. 2017-Jun-20 00:00:00.0000,  1.523090953130883E+09, -4.750574649327100E+09,  6.759396815379453E+07,
2457925.500000000, A.D. 2017-Jun-21 00:00:00.0000,  1.523550076563275E+09, -4.750528559156345E+09,  6.745673005044699E+07,
2457926.500000000, A.D. 2017-Jun-22 00:00:00.0000,  1.524008959215788E+09, -4.750483604202605E+09,  6.731801027378631E+07,
2457927.500000000, A.D. 2017-Jun-23 00:00:00.0000,  1.524466554681800E+09, -4.750440022448733E+09,  6.717925128759074E+07,
2457928.500000000, A.D. 2017-Jun-24 00:00:00.0000,  1.524922954543314E+09, -4.750396792829831E+09,  6.704192986966252E+07,
2457929.500000000, A.D. 2017-Jun-25 00:00:00.0000,  1.525379307033551E+09, -4.750352545195797E+09,  6.690624053969908E+07,
2457930.500000000, A.D. 2017-Jun-26 00:00:00.0000,  1.525836793386429E+09, -4.750306782599877E+09,  6.677092086695838E+07,
2457931.500000000, A.D. 2017-Jun-27 00:00:00.0000,  1.526295573101655E+09, -4.750260325647830E+09,  6.663437771267462E+07,
2457932.500000000, A.D. 2017-Jun-28 00:00:00.0000,  1.526754641636399E+09, -4.750214579699854E+09,  6.649610967987752E+07,
2457933.500000000, A.D. 2017-Jun-29 00:00:00.0000,  1.527212727515205E+09, -4.750170280650890E+09,  6.635715353672004E+07,
2457934.500000000, A.D. 2017-Jun-30 00:00:00.0000,  1.527669425938738E+09, -4.750126839487721E+09,  6.621915880632401E+07,
2457935.500000000, A.D. 2017-Jul-01 00:00:00.0000,  1.528125559524153E+09, -4.750082867397901E+09,  6.608291744701552E+07,
2457936.500000000, A.D. 2017-Jul-02 00:00:00.0000,  1.528582445432078E+09, -4.750037413978678E+09,  6.594765682868934E+07,
2457937.500000000, A.D. 2017-Jul-03 00:00:00.0000,  1.529040719890556E+09, -4.749990816098239E+09,  6.581172813748240E+07,
2457938.500000000, A.D. 2017-Jul-04 00:00:00.0000,  1.529499769891241E+09, -4.749944397393610E+09,  6.567407850988078E+07,
2457939.500000000, A.D. 2017-Jul-05 00:00:00.0000,  1.529958281004486E+09, -4.749899286420864E+09,  6.553519028434873E+07,
