*******************************************************************************
 Revised: Jun 17, 2016                Saturn                                699
 
 PHYSICAL DATA (updated 2009-May-26):
  Mass (10^26 kg)       = 5.68319         Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Volumetric mean radius= 58232+-6 km     Flattening             =  0.09796

  Rotation period       = 10h 39m 22.4s   Rot. rate(10^-4 rad/s) =  1.63785 
  m = w^2a^3/GM         =  0.15481        Hydrostatic flat., fh  =  0.09829
  Inferred rot. period  = 10.61+-0.02 hr  ks = 3*J2/m            =  0.317
  Mom. of inert. I/MRo^2=  0.210          I/MRo^2 (upper bound)  =  0.231 
  Rocky core mass (Mc/M)=  0.1027         Y factor (He/H ratio)  =  

  GM (km^3/s^2)         = 37931207.8      GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01

  Geometric albedo      =  0.47           Visual magnitude V(1,0)= -8.88
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.6624 km/s

  Atmos. temp. (1 bar)  = 134+-4 K        Heat flow/mass (x10^7) = 15 erg/gm*s
  Planetary Solar Const =  15.04 W/m^2    Dipole tilt/offset     = 0.0deg/0.0Rp 
  Escape velocity (km/s)=  35.5           Mag.dip.mom(gauss-Rp^3)= 0.21
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jun 20 14:49:54 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat389}
Center body name: Sun (10)                        {source: sat389}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jun-19 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jun-19 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457923.500000000, A.D. 2017-Jun-19 00:00:00.0000, -1.476007259590220E+08, -1.497114849365295E+09,  3.189670821970469E+07,
2457924.500000000, A.D. 2017-Jun-20 00:00:00.0000, -1.468152376502734E+08, -1.497199818793473E+09,  3.186687078172106E+07,
2457925.500000000, A.D. 2017-Jun-21 00:00:00.0000, -1.460297475845287E+08, -1.497284345940074E+09,  3.183702531032836E+07,
2457926.500000000, A.D. 2017-Jun-22 00:00:00.0000, -1.452442511444584E+08, -1.497368442199358E+09,  3.180717728042787E+07,
2457927.500000000, A.D. 2017-Jun-23 00:00:00.0000, -1.444587481135406E+08, -1.497452116261982E+09,  3.177733105946481E+07,
2457928.500000000, A.D. 2017-Jun-24 00:00:00.0000, -1.436732282192638E+08, -1.497535383518133E+09,  3.174749362232739E+07,
2457929.500000000, A.D. 2017-Jun-25 00:00:00.0000, -1.428876803736440E+08, -1.497618249852960E+09,  3.171766679173523E+07,
2457930.500000000, A.D. 2017-Jun-26 00:00:00.0000, -1.421020840066474E+08, -1.497700724468570E+09,  3.168785339670205E+07,
2457931.500000000, A.D. 2017-Jun-27 00:00:00.0000, -1.413164164166301E+08, -1.497782798066983E+09,  3.165804633985436E+07,
2457932.500000000, A.D. 2017-Jun-28 00:00:00.0000, -1.405306680520403E+08, -1.497864455612815E+09,  3.162823691855025E+07,
2457933.500000000, A.D. 2017-Jun-29 00:00:00.0000, -1.397448376708023E+08, -1.497945686594335E+09,  3.159841954643250E+07,
2457934.500000000, A.D. 2017-Jun-30 00:00:00.0000, -1.389589185822662E+08, -1.498026475474663E+09,  3.156858560624856E+07,
2457935.500000000, A.D. 2017-Jul-01 00:00:00.0000, -1.381729218289619E+08, -1.498106805620203E+09,  3.153872760239005E+07,
2457936.500000000, A.D. 2017-Jul-02 00:00:00.0000, -1.373868569532957E+08, -1.498186665194916E+09,  3.150884041781032E+07,
2457937.500000000, A.D. 2017-Jul-03 00:00:00.0000, -1.366007468782538E+08, -1.498266045292499E+09,  3.147892166232592E+07,
2457938.500000000, A.D. 2017-Jul-04 00:00:00.0000, -1.358146114580954E+08, -1.498344951165388E+09,  3.144897600665879E+07,
2457939.500000000, A.D. 2017-Jul-05 00:00:00.0000, -1.350284589526229E+08, -1.498423393987163E+09,  3.141901011316758E+07,
2457940.500000000, A.D. 2017-Jul-06 00:00:00.0000, -1.342422975151055E+08, -1.498501375398385E+09,  3.138902557124466E+07,
2457941.500000000, A.D. 2017-Jul-07 00:00:00.0000, -1.334561390465255E+08, -1.498578910170193E+09,  3.135903120811278E+07,
