*******************************************************************************
 Revised: Jul 31, 2013              Venus                               299 / 2
 
 GEOPHYSICAL DATA (updated 2014-Mar-13):
  Mean radius (km)      =   6051.8(4+-1)  Density (g cm^-3)     =  5.204 
  Mass (10^23 kg )      =     48.685      Flattening, f         =  
  Volume (x10^10 km^3)  =     92.843      Semi-major axis       =  
  Sidereal rot. period  =   -243.0185 d   Rot. Rate (x10^5 s)   = -0.029924 
  Mean solar day        =    116.7490 d   Polar gravity ms^-2   =   
  Mom. of Inertia       =      0.33       Equ. gravity  ms^-2   =  8.870 
  Core radius (km)      =  ~3200          Potential Love # k2   = ~0.25 

  Grav spectral fact u  =      1.5        Topo. spectral fact t =  23       
  Fig. offset (Rcf-Rcm) =      0.19+-01   Offset (lat./long.)   = 11/102 dg/dg 
  GM (km^3 s^-2)        = 324858.63       Equatorial Radius, Re = 6051.893 km 
  GM 1-sigma (km^3 s^-2)=    +-0.04       Mass ratio (Sun/Venus)= 408523.72
  
  Atmos. pressure (bar) =    90           Max. angular diam.    =   60.2" 
  Mean Temperature (K)  =  735            Visual mag. V(1,0)    =   -4.40 
  Geometric albedo      =    0.65         Obliquity to orbit    =  177.3 deg 
  Sidereal orb. per.    =    0.61519726 y Orbit vel.  km/s      =   35.0214 
  Sidereal orb. per.    =  224.70079922 d Escape vel. km/s      =   10.361 
  Hill's sphere rad. Rp =  167.1          Planetary Solar Const = 2613.9 (Wm^2) 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jun 20 14:58:21 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jun-19 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jun-19 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457923.500000000, A.D. 2017-Jun-19 00:00:00.0000,  8.453360695130615E+07, -6.845805039766628E+07, -5.817158991877172E+06,
2457924.500000000, A.D. 2017-Jun-20 00:00:00.0000,  8.638603835197957E+07, -6.609238296610361E+07, -5.891606412103005E+06,
2457925.500000000, A.D. 2017-Jun-21 00:00:00.0000,  8.817225877081309E+07, -6.367605869048437E+07, -5.961538178815164E+06,
2457926.500000000, A.D. 2017-Jun-22 00:00:00.0000,  8.989089118736066E+07, -6.121092381488183E+07, -6.026900154061917E+06,
2457927.500000000, A.D. 2017-Jun-23 00:00:00.0000,  9.154060902228011E+07, -5.869886172399549E+07, -6.087641620052766E+06,
2457928.500000000, A.D. 2017-Jun-24 00:00:00.0000,  9.312013712122998E+07, -5.614179160468875E+07, -6.143715317571543E+06,
2457929.500000000, A.D. 2017-Jun-25 00:00:00.0000,  9.462825270596740E+07, -5.354166708232582E+07, -6.195077482155584E+06,
2457930.500000000, A.D. 2017-Jun-26 00:00:00.0000,  9.606378629205589E+07, -5.090047483255900E+07, -6.241687878015403E+06,
2457931.500000000, A.D. 2017-Jun-27 00:00:00.0000,  9.742562257259157E+07, -4.822023316922761E+07, -6.283509829668928E+06,
2457932.500000000, A.D. 2017-Jun-28 00:00:00.0000,  9.871270126735571E+07, -4.550299060904204E+07, -6.320510251264581E+06,
2457933.500000000, A.D. 2017-Jun-29 00:00:00.0000,  9.992401793680224E+07, -4.275082441374119E+07, -6.352659673567373E+06,
2457934.500000000, A.D. 2017-Jun-30 00:00:00.0000,  1.010586247602904E+08, -3.996583911042824E+07, -6.379932268582689E+06,
2457935.500000000, A.D. 2017-Jul-01 00:00:00.0000,  1.021156312779754E+08, -3.715016499080701E+07, -6.402305871793171E+06,
2457936.500000000, A.D. 2017-Jul-02 00:00:00.0000,  1.030942050957786E+08, -3.430595659006117E+07, -6.419762001984825E+06,
2457937.500000000, A.D. 2017-Jul-03 00:00:00.0000,  1.039935725528619E+08, -3.143539114613608E+07, -6.432285878639609E+06,
2457938.500000000, A.D. 2017-Jul-04 00:00:00.0000,  1.048130193510409E+08, -2.854066704019667E+07, -6.439866436871676E+06,
2457939.500000000, A.D. 2017-Jul-05 00:00:00.0000,  1.055518911455777E+08, -2.562400221906271E+07, -6.442496339886654E+06,
